lon,lat,depth,depth_lower
-126.4,41.4,,
-126.35,41.4,,
-126.30000000000001,41.4,,
-126.25,41.4,,
-126.19999999999999,41.4,,
-126.15,41.4,,
-126.1,41.4,,
-126.05000000000001,41.4,,
-126.0,41.4,,
-125.94999999999999,41.4,,
-125.9,41.4,,
-125.85,41.4,,
-125.80000000000001,41.4,,
-125.75,41.4,,
-125.69999999999999,41.4,,
-125.65,41.4,,
-125.6,41.4,,
-125.55000000000001,41.4,,
-125.5,41.4,,
-125.44999999999999,41.4,,
-125.4,41.4,,
-125.35,41.4,,
-125.30000000000001,41.4,,
-125.25,41.4,,
-125.19999999999999,41.4,,
-125.15,41.4,-5.58679485321,0.4132051467900002
-125.1,41.4,-5.99358224869,0.006417751309999886
-125.05000000000001,41.4,-6.44405937195,-0.4440593719499999
-125.0,41.4,-6.9372086525,-0.9372086524999999
-124.94999999999999,41.4,-7.47112512589,-1.4711251258900004
-124.9,41.4,-8.04311275482,-2.043112754819999
-124.85,41.4,-8.64983940125,-2.6498394012500004
-124.80000000000001,41.4,-9.28753185272,-3.287531852720001
-124.75,41.4,-9.95220565796,-3.9522056579600005
-124.69999999999999,41.4,-10.6398954391,-4.6398954391
-124.65,41.4,-11.3468923569,-5.3468923569
-124.6,41.4,-12.0699453354,-6.0699453354
-124.55000000000001,41.4,-12.8064393997,-6.8064393997
-124.5,41.4,-13.5545253754,-7.554525375400001
-124.44999999999999,41.4,-14.3132019043,-8.3132019043
-124.4,41.4,-15.0823726654,-9.0823726654
-124.35,41.4,-15.8628578186,-9.8628578186
-124.30000000000001,41.4,-16.6563911438,-10.6563911438
-124.25,41.4,-17.4656066895,-11.4656066895
-124.19999999999999,41.4,-18.2940044403,-12.2940044403
-124.15,41.4,-19.1459350586,-13.1459350586
-124.1,41.4,-20.0265407562,-14.0265407562
-124.05000000000001,41.4,-20.9417114258,-14.941711425800001
-124.0,41.4,-21.8979816437,-15.8979816437
-123.94999999999999,41.4,-22.9024009705,-16.9024009705
-123.9,41.4,-23.9623432159,-17.9623432159
-123.85,41.4,-25.085269928,-19.085269928
-123.80000000000001,41.4,-26.278427124,-20.278427124
-123.75,41.4,-27.5485305786,-21.5485305786
-123.69999999999999,41.4,-28.9014072418,-22.9014072418
-123.65,41.4,-30.3416748047,-24.3416748047
-123.6,41.4,-31.8724575043,-25.8724575043
-123.55000000000001,41.4,-33.4951591492,-27.4951591492
-123.5,41.4,-35.20936203,-29.20936203
-123.44999999999999,41.4,-37.0127906799,-31.0127906799
-123.4,41.4,-38.9014396667,-32.9014396667
-123.35,41.4,-40.8697357178,-34.8697357178
-123.30000000000001,41.4,-42.9108161926,-36.9108161926
-123.25,41.4,-45.0168418884,-39.0168418884
-123.19999999999999,41.4,-47.179309845,-41.179309845
-123.15,41.4,-49.3893699646,-43.3893699646
-123.1,41.4,-51.6380729675,-45.6380729675
-123.05000000000001,41.4,-53.916633606,-47.916633606
-127.94999999999999,41.35,,
-127.9,41.35,,
-127.85,41.35,,
