file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc72946846.mseed,PB.B046..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:48:36.280,0.817,D,I
nc72946846.mseed,PB.B049..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:15.060,0.973,D,I
nc72946846.mseed,PB.B932..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.120,0.969,D,I
nc72946846.mseed,PB.B933..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.820,0.962,D,I
nc72946846.mseed,PB.B934..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.860,0.974,U,I
nc72946846.mseed,PB.B935..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:12.100,0.964,U,I
nc72946846.mseed,CE.89101.10.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.780,0.793,U,E
nc72946846.mseed,CE.89255.10.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.730,0.897,U,I
nc72946846.mseed,CE.89462.10.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.060,0.867,D,E
nc72946846.mseed,CE.89781.10.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.950,0.915,U,I
nc72946846.mseed,PB.B047..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.010,0.971,D,I
nc72946846.mseed,PB.B932..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.120,0.969,D,I
nc72946846.mseed,PB.B045..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:15.810,0.974,D,I
nc72946846.mseed,PB.B046..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:48:36.280,0.817,D,I
nc72946846.mseed,PB.B049..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:15.060,0.973,D,I
nc72946846.mseed,PB.B933..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.820,0.962,D,I
nc72946846.mseed,PB.B934..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.860,0.974,U,I
nc72946846.mseed,PB.B935..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:12.100,0.964,U,I
nc72086051.mseed,NC.G003.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.760,0.927,U,I
nc72086051.mseed,BK.WDC.00.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.070,0.91,U,E
nc72086051.mseed,BK.JCC.00.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:49.270,0.973,U,I
nc72086051.mseed,BK.GASB.00.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:10.870,0.815,U,I
nc72086051.mseed,NC.GHM..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:10.540,0.847,D,E
nc72086051.mseed,NC.G006.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:10.650,0.757,D,E
nc72086051.mseed,NC.GHL..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:14.350,0.854,D,E
nc72086051.mseed,BK.YBH.00.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.190,0.891,U,I
nc72086051.mseed,BK.YBH.50.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.170,0.894,U,I
nc72086051.mseed,NC.GTS..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:14.880,0.807,U,E
nc72086051.mseed,NC.K001.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:54.620,0.981,U,E
nc72086051.mseed,NC.KBN..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:05.030,0.804,U,I
nc72086051.mseed,NC.K003.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:48.200,0.972,U,I
nc72086051.mseed,NC.KCPB..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:03.780,0.824,D,E
nc72086051.mseed,NC.KFP..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:05.290,0.874,D,E
nc72086051.mseed,NC.KCT..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:50.190,0.917,D,I
