# Snuffler Markers File Version 0.2
phase: 2008-04-30 03:03:17.90389  0 XQ.ME37.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:18.23565  0 XQ.ME34.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:18.62196  0 XQ.ME09.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:18.75666  0 NC.KMPB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:18.86749  0 XQ.ME08.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:19.03331  0 XQ.ME39.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:19.17031  0 NC.KMR..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:20.15690  0 NC.KCT..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:20.19793  0 NC.KRMB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:20.20077  0 XQ.ME38.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:20.69067  0 XQ.ME36.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:20.91823  0 BK.WDC..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:22.28528  0 XQ.ME03.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:22.96924  0 XQ.ME01.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:23.65587  0 XQ.ME49.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:23.95055  0 XQ.ME41.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:23.98970  0 NC.KSXB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:25.13002  0 BK.YBH..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:25.85139  0 NC.GRO..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:25.97341  0 NC.KCPB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:26.04053  0 XQ.ME42.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:26.59764  0 XQ.ME57.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:26.90292  0 XQ.ME50.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:27.79531  0 NC.GVV..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:27.93799  0 XQ.ME43.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:28.75596  0 XQ.ME44.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:29.16796  0 BK.GASB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:29.81071  0 XQ.ME45.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:29.83407  0 NC.GHM..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:30.72186  0 XQ.ME52.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
2008-04-30 03:03:32.02006  0 XQ.ME53.01.BHZ
phase: 2008-04-30 03:03:32.57073  0 NC.GWR..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:33.33655  0 XQ.ME46.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:34.00606  0 NC.GTS..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:34.06273  0 XQ.ME63.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:34.07644  0 NC.GCW..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:34.87302  0 XQ.ME47.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:34.91278  0 XQ.ME54.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:34.93012  0 NC.GHG..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:35.08664  0 NC.GHL..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
