station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
NC.KCPB..HH,2008-02-27T00:10:12.820,1077,2008-02-27T00:10:23.590,0.915,S,nc51197189.mseed,1069.9320068359375,1069.9320068359375
NC.KCPB..HH,2008-02-27T00:10:12.820,14005,2008-02-27T00:12:32.870,0.619,S,nc51197189.mseed,700.5689086914062,700.5689086914062
NC.KHBB..HH,2008-02-27T00:10:12.820,3993,2008-02-27T00:10:52.750,0.948,P,nc51197189.mseed,4330.2666015625,4330.2666015625
NC.KHBB..HH,2008-02-27T00:10:12.820,4737,2008-02-27T00:11:00.190,0.722,S,nc51197189.mseed,4330.2666015625,4330.2666015625
NC.KHMB..HH,2008-02-27T00:10:12.820,4011,2008-02-27T00:10:52.930,0.958,P,nc51197189.mseed,26751.23828125,26751.23828125
NC.KHMB..HH,2008-02-27T00:10:12.820,4852,2008-02-27T00:11:01.340,0.301,S,nc51197189.mseed,26751.23828125,26751.23828125
NC.KRMB..HH,2008-02-27T00:10:12.820,4283,2008-02-27T00:10:55.650,0.954,P,nc51197189.mseed,1673.0126953125,1673.0126953125
NC.KRMB..HH,2008-02-27T00:10:12.820,5340,2008-02-27T00:11:06.220,0.686,S,nc51197189.mseed,1673.0126953125,1673.0126953125
NC.KRP..HH,2008-02-27T00:10:12.820,5300,2008-02-27T00:11:05.820,0.528,S,nc51197189.mseed,3729.68701171875,3729.68701171875
NC.KSXB..HH,2008-02-27T00:10:12.820,4590,2008-02-27T00:10:58.720,0.662,P,nc51197189.mseed,890.1927490234375,890.1927490234375
NC.KSXB..HH,2008-02-27T00:10:12.820,5956,2008-02-27T00:11:12.380,0.65,S,nc51197189.mseed,1160.8731689453125,1160.8731689453125
XQ.ME01.01.BH,2008-02-27T00:10:12.820,4378,2008-02-27T00:10:56.600,0.964,P,nc51197189.mseed,4082.04541015625,4082.04541015625
