# Snuffler Markers File Version 0.2
phase: 2008-04-30 03:03:16.1260  0 XQ.ME13.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:16.1751  0 XQ.ME33.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:16.1950  0 XQ.ME07.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:16.4093  0 XQ.ME27.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:16.7357  0 XQ.ME35.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:16.8935  0 NC.KRP..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:16.9271  0 XQ.ME04.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:17.9039  0 XQ.ME37.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:18.2357  0 XQ.ME34.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:18.6220  0 XQ.ME09.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:18.7567  0 NC.KMPB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:18.8675  0 XQ.ME08.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:19.0333  0 XQ.ME39.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:19.1703  0 NC.KMR..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:20.1569  0 NC.KCT..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:20.1979  0 NC.KRMB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:20.2008  0 XQ.ME38.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:20.6907  0 XQ.ME36.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:20.9182  0 BK.WDC..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:22.2853  0 XQ.ME03.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:22.9692  0 XQ.ME01.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:23.6559  0 XQ.ME49.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:23.9506  0 XQ.ME41.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:23.9897  0 NC.KSXB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:25.1300  0 BK.YBH..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:25.8514  0 NC.GRO..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:25.9734  0 NC.KCPB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:26.0405  0 XQ.ME42.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:26.5976  0 XQ.ME57.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
