event_id,sta_code,p_polarity,event_id2,origin_lat,origin_lon,origin_depth_km,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,horz_uncert_km,vert_uncert_km,station_lat,station_lon,station_depth_km,pol_agreement,mech_quality,pol_agreement_weighted
1,ME09.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,70.567,90.0249,66.783,,,con_p,1.0,1.0,41.085999,-122.725998,-0.867,1.0,B,1.0
1,ME27.01.BHZ,-1.0,nan,40.8358333,-123.4968333,27.755,51.375,80.6583,145.9587,,,con_p,1.0,1.0,40.452999,-123.154999,-0.771,1.0,B,1.0
1,ME52.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,169.864,110.7748,172.0934,,,con_p,1.0,1.0,39.3228,-123.219101,-0.271,1.0,B,1.0
1,ME50.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,134.991,104.5735,179.2203,,,con_p,1.0,1.0,39.622002,-123.474998,-0.634,1.0,B,1.0
1,ME49.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,109.755,99.4229,189.8231,,,con_p,1.0,1.0,39.8633,-123.719398,-0.284,1.0,B,1.0
1,ME46.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,187.699,112.9956,166.2882,,,con_p,1.0,1.0,39.195999,-122.968002,-0.425,1.0,B,1.0
1,ME45.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,158.828,108.9014,163.4634,,,con_p,1.0,1.0,39.466599,-122.959503,-0.633,1.0,B,1.0
1,ME44.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,151.603,107.648,170.0991,,,con_p,1.0,1.0,39.492802,-123.186996,-0.417,1.0,B,1.0
1,ME43.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,143.308,106.1401,169.1092,,,con_p,1.0,1.0,39.570301,-123.175003,-1.143,1.0,B,1.0
1,ME42.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,126.106,102.8333,171.4119,,,con_p,1.0,1.0,39.7145,-123.273003,-0.633,1.0,B,1.0
1,ME41.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,106.349,98.6863,173.8312,,,con_p,1.0,1.0,39.884998,-123.361,-1.017,1.0,B,1.0
1,ME39.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,72.482,90.2859,186.4959,,,con_p,1.0,1.0,40.188202,-123.594299,-0.341,1.0,B,1.0
1,ME38.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,81.715,92.7785,180.3754,,,con_p,1.0,1.0,40.101002,-123.503197,-0.275,1.0,B,1.0
1,ME37.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,62.664,86.0304,192.1816,,,con_p,1.0,1.0,40.285,-123.653999,-0.501,1.0,B,1.0
1,ME36.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,86.132,93.7457,220.6537,,,con_p,1.0,1.0,40.248199,-124.163803,-0.073,1.0,B,1.0
1,ME35.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,44.564,76.4266,208.3063,,,con_p,1.0,1.0,40.483002,-123.748001,-0.369,1.0,B,1.0
1,ME34.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,65.956,87.8894,233.4972,,,con_p,1.0,1.0,40.483002,-124.126999,-0.244,1.0,B,1.0
1,ME33.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,46.889,77.9696,213.2,,,con_p,1.0,1.0,40.483002,-123.802002,-0.367,1.0,B,1.0
1,ME32.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,40.884,73.6855,228.1836,,,con_p,1.0,1.0,40.590698,-123.859001,-0.711,1.0,B,1.0
1,ME31.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,39.933,72.9399,251.5191,,,con_p,1.0,1.0,40.722,-123.946999,-0.82,1.0,B,1.0
1,ME30.01.BHZ,-1.0,nan,40.8358333,-123.4968333,27.755,5.79,15.7771,277.9098,,,con_p,1.0,1.0,40.842999,-123.565002,-0.237,1.0,B,1.0
1,ME29.01.BHZ,1.0,nan,40.8358333,-123.4968333,27.755,45.347,76.9619,41.342,,,con_p,1.0,1.0,41.141998,-123.1408,-0.725,1.0,B,1.0
