station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km
PB.B935..EH,2017-09-20T14:34:25.770,4131,2017-09-20 14:35:07.080000,0.94,P,nc72895731.mseed,609.2174682617188,609.2174682617188,57.16
PB.B049..EH,2009-08-03T21:25:06.810,3094,2009-08-03 21:25:37.750000,0.984,P,nc71259711.mseed,4842.16552734375,4842.16552734375,2.37
PB.B933..EH,2009-08-03T21:25:06.810,3464,2009-08-03 21:25:41.450000,0.973,P,nc71259711.mseed,552.139892578125,552.139892578125,21.23
PB.B047..EH,2009-08-03T21:25:06.810,3678,2009-08-03 21:25:43.590000,0.945,P,nc71259711.mseed,705.8662109375,705.8662109375,29.45
PB.B046..EH,2009-08-03T21:25:06.810,3884,2009-08-03 21:25:45.650000,0.925,P,nc71259711.mseed,237.17132568359375,237.17132568359375,40.65
PB.B046..EH,2010-05-31T16:19:08.940,3278,2010-05-31 16:19:41.720000,0.985,P,nc71407421.mseed,9093.5185546875,9093.5185546875,8.9
PB.B932..EH,2010-05-31T16:19:08.940,3354,2010-05-31 16:19:42.480000,0.978,P,nc71407421.mseed,2592.818359375,2592.818359375,14.56
PB.B047..EH,2010-05-31T16:19:08.940,3452,2010-05-31 16:19:43.460000,0.987,P,nc71407421.mseed,3815.71435546875,3815.71435546875,19.54
PB.B045..EH,2010-05-31T16:19:08.940,3738,2010-05-31 16:19:46.320000,0.985,P,nc71407421.mseed,1297.121337890625,1297.121337890625,36.13
PB.B933..EH,2010-05-31T16:19:08.940,3830,2010-05-31 16:19:47.240000,0.985,P,nc71407421.mseed,706.17626953125,706.17626953125,44.96
XQ.ME08.01.BH,2008-06-05T21:58:44.860,3650,2008-06-05 21:59:21.360000,0.981,P,nc51203864.mseed,1199.6361083984375,1199.6361083984375,13.93
XQ.ME39.01.BH,2008-06-05T21:58:44.860,3837,2008-06-05 21:59:23.230000,0.966,P,nc51203864.mseed,843.763671875,843.763671875,38.68
XQ.ME37.01.BH,2008-06-05T21:58:44.860,3910,2008-06-05 21:59:23.960000,0.953,P,nc51203864.mseed,874.9526977539062,874.9526977539062,44.26
NC.GRO..EH,2008-06-05T21:58:44.860,4034,2008-06-05 21:59:25.200000,0.974,P,nc51203864.mseed,185.9133758544922,185.9133758544922,52.14
XQ.ME12.01.BH,2008-06-05T21:58:44.860,4133,2008-06-05 21:59:26.190000,0.913,P,nc51203864.mseed,1062.2608642578125,1062.2608642578125,56.23
XQ.ME35.01.BH,2008-06-05T21:58:44.860,4016,2008-06-05 21:59:25.020000,0.971,P,nc51203864.mseed,717.6339111328125,717.6339111328125,59.41
BK.GASB..HH,2008-06-05T21:58:44.860,4304,2008-06-05 21:59:27.900000,0.961,P,nc51203864.mseed,356.4542541503906,356.4542541503906,72.22
XQ.ME30.01.BH,2008-06-05T21:58:44.860,4292,2008-06-05 21:59:27.780000,0.973,P,nc51203864.mseed,381.31341552734375,381.31341552734375,78.26
NC.KBN..EH,2013-05-17T23:14:24.840,3306,2013-05-17 23:14:57.900000,0.983,P,nc71993336.mseed,603.7100830078125,603.7100830078125,10.39
NC.GRO..EH,2013-05-17T23:14:24.840,3895,2013-05-17 23:15:03.790000,0.974,P,nc71993336.mseed,68.40147399902344,68.40147399902344,40.2
NC.GVV..EH,2013-05-17T23:14:24.840,3967,2013-05-17 23:15:04.510000,0.987,P,nc71993336.mseed,112.61433410644533,112.61433410644533,45.14
NC.KPP..EH,2013-05-17T23:14:24.840,3999,2013-05-17 23:15:04.830000,0.974,P,nc71993336.mseed,179.74574279785156,179.74574279785156,45.61
PB.B049..EH,2015-03-22T21:00:59.900,3437,2015-03-22 21:01:34.270000,0.986,P,nc72415885.mseed,2118.214111328125,2118.214111328125,10.36
NC.KMR..HN,2015-03-22T21:00:59.900,3483,2015-03-22 21:01:34.730000,0.986,P,nc72415885.mseed,6.701257228851318,6.701257228851318,12.93
PB.B933..EH,2015-03-22T21:00:59.900,3486,2015-03-22 21:01:34.760000,0.983,P,nc72415885.mseed,5876.708984375,5876.708984375,14.46
PB.B047..EH,2015-03-22T21:00:59.900,3670,2015-03-22 21:01:36.600000,0.983,P,nc72415885.mseed,4580.6884765625,4580.6884765625,30.27
NC.KBS.02.EH,2015-03-22T21:00:59.900,3712,2015-03-22 21:01:37.020000,0.97,P,nc72415885.mseed,1720.9449462890625,1720.9449462890625,32.92
PB.B932..EH,2015-03-22T21:00:59.900,3707,2015-03-22 21:01:36.970000,0.985,P,nc72415885.mseed,1276.0806884765625,1276.0806884765625,35.38
5E.CM10A..EH,2015-03-22T21:00:59.900,3798,2015-03-22 21:01:37.880000,0.985,P,nc72415885.mseed,8684.5849609375,8684.5849609375,40.74
PB.B046..EH,2015-03-22T21:00:59.900,3810,2015-03-22 21:01:38,0.985,P,nc72415885.mseed,943.6492919921876,943.6492919921876,42.48
PB.B935..EH,2015-03-22T21:00:59.900,3857,2015-03-22 21:01:38.470000,0.972,P,nc72415885.mseed,613.8779296875,613.8779296875,43.44
NC.KIP..EH,2015-03-22T21:00:59.900,3918,2015-03-22 21:01:39.080000,0.958,P,nc72415885.mseed,494.1476135253906,494.1476135253906,48.46
5E.CM08A..EH,2015-03-22T21:00:59.900,3954,2015-03-22 21:01:39.440000,0.964,P,nc72415885.mseed,5533.31494140625,5533.31494140625,49.33
