station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.KHMB..HH,2013-05-13 17:22:12.080,3851,2013-05-13 17:22:50.590,0.974,P,nc71990966.mseed,7610.7783203125,7610.7783203125,U,I,,
NC.KOM..EH,2013-05-13 17:22:12.080,3734,2013-05-13 17:22:49.420,0.883,P,nc71990966.mseed,857.933837890625,857.933837890625,D,I,,
NC.KPP..EH,2013-05-13 17:22:12.080,4355,2013-05-13 17:22:55.630,0.942,P,nc71990966.mseed,196.5283966064453,196.5283966064453,U,I,,
NC.KRMB..HH,2013-05-13 17:22:12.080,4219,2013-05-13 17:22:54.270,0.956,P,nc71990966.mseed,908.1366577148438,908.1366577148438,U,E,,
NC.KSM.02.EH,2013-05-13 17:22:12.080,4810,2013-05-13 17:23:00.180,0.868,P,nc71990966.mseed,121.31099700927734,121.31099700927734,D,E,,
NC.KTR..EH,2013-05-13 17:22:12.080,4599,2013-05-13 17:22:58.070,0.811,P,nc71990966.mseed,111.64752960205078,111.64752960205078,D,I,,
NC.LBK..EH,2013-05-13 17:22:12.080,4043,2013-05-13 17:22:52.510,0.963,P,nc71990966.mseed,1808.2713623046875,1808.2713623046875,U,I,,
NC.LBP..EH,2013-05-13 17:22:12.080,4495,2013-05-13 17:22:57.030,0.92,P,nc71990966.mseed,117.53179931640624,117.53179931640624,U,E,,
NC.LGP..EH,2013-05-13 17:22:12.080,3907,2013-05-13 17:22:51.150,0.839,P,nc71990966.mseed,2020.1832275390625,2020.1832275390625,U,I,,
NC.LPK..EH,2013-05-13 17:22:12.080,4373,2013-05-13 17:22:55.810,0.917,P,nc71990966.mseed,661.0608520507812,661.0608520507812,D,E,,
PB.B046..EH,2013-05-13 17:22:12.080,4725,2013-05-13 17:22:59.330,0.939,P,nc71990966.mseed,135.32373046875,135.32373046875,U,I,,
PB.B047..EH,2013-05-13 17:22:12.080,4730,2013-05-13 17:22:59.380,0.956,P,nc71990966.mseed,74.8299331665039,74.8299331665039,D,I,,
PB.B049..EH,2013-05-13 17:22:12.080,4561,2013-05-13 17:22:57.690,0.96,P,nc71990966.mseed,202.08273315429688,202.08273315429688,U,I,,
PB.B932..EH,2013-05-13 17:22:12.080,4714,2013-05-13 17:22:59.220,0.932,P,nc71990966.mseed,60.84280014038086,60.84280014038086,U,E,,
PB.B935..EH,2013-05-13 17:22:12.080,4190,2013-05-13 17:22:53.980,0.913,P,nc71990966.mseed,271.2417297363281,271.2417297363281,D,E,,
TA.M02C..HH,2013-05-13 17:22:12.080,4039,2013-05-13 17:22:52.470,0.963,P,nc71990966.mseed,1223.2493896484375,1223.2493896484375,D,I,,
TA.N02D..HH,2013-05-13 17:22:12.080,4001,2013-05-13 17:22:52.090,0.977,P,nc71990966.mseed,3501.376953125,3501.376953125,U,E,,
BK.GHOP.00.HH,2022-05-29 22:57:55.220,4351,2022-05-29 22:58:38.730,0.968,P,nc73739276.mseed,1544.8680419921875,1544.8680419921875,U,E,,
BK.GUMB.00.HH,2022-05-29 22:57:55.220,4294,2022-05-29 22:58:38.160,0.949,P,nc73739276.mseed,679.5822143554688,679.5822143554688,U,I,,
BK.HAYF.00.HH,2022-05-29 22:57:55.220,3727,2022-05-29 22:58:32.490,0.966,P,nc73739276.mseed,6895.22607421875,6895.22607421875,U,I,,
BK.JCC.00.HH,2022-05-29 22:57:55.220,4083,2022-05-29 22:58:36.050,0.843,P,nc73739276.mseed,10197.9052734375,10197.9052734375,D,E,,
BK.MILL.00.HH,2022-05-29 22:57:55.220,4737,2022-05-29 22:58:42.590,0.944,P,nc73739276.mseed,644.8123168945312,644.8123168945312,U,I,,
BK.PETY.00.HH,2022-05-29 22:57:55.220,4399,2022-05-29 22:58:39.210,0.95,P,nc73739276.mseed,3905.0380859375,3905.0380859375,U,E,,
BK.RBOW.00.HH,2022-05-29 22:57:55.220,4398,2022-05-29 22:58:39.200,0.918,P,nc73739276.mseed,2921.252685546875,2921.252685546875,U,I,,
BK.SANG.00.HH,2022-05-29 22:57:55.220,4890,2022-05-29 22:58:44.120,0.885,P,nc73739276.mseed,427.3298034667969,427.3298034667969,D,E,,
BK.SCOT.00.HH,2022-05-29 22:57:55.220,4230,2022-05-29 22:58:37.520,0.892,P,nc73739276.mseed,2217.869384765625,2217.869384765625,U,E,,
BK.TRIN.00.HH,2022-05-29 22:57:55.220,3923,2022-05-29 22:58:34.450,0.953,P,nc73739276.mseed,12020.0546875,12020.0546875,U,I,,
BK.WEAV.00.HH,2022-05-29 22:57:55.220,3646,2022-05-29 22:58:31.680,0.985,P,nc73739276.mseed,22331.564453125,22331.564453125,U,I,,
BK.YBH.00.HH,2022-05-29 22:57:55.220,4774,2022-05-29 22:58:42.960,0.814,P,nc73739276.mseed,2172.46728515625,2172.46728515625,D,E,,
BK.YBH.50.HH,2022-05-29 22:57:55.220,4775,2022-05-29 22:58:42.970,0.817,P,nc73739276.mseed,2187.72509765625,2187.72509765625,D,E,,
