#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
PB|B049||EH2|40.237499|-123.819702|117.0|592.0|3.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-11-12T00:00:00|3000-01-01T00:00:00
PB|B049||EHZ|40.237499|-123.819702|117.0|592.0|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-11-12T00:00:00|3000-01-01T00:00:00
PB|B047||EH1|40.249933|-124.169848|80.0|175.3|286.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-04T00:00:00|3000-01-01T00:00:00
PB|B047||EH2|40.249933|-124.169848|80.0|175.3|16.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-04T00:00:00|3000-01-01T00:00:00
PB|B047||EHZ|40.249933|-124.169848|80.0|175.3|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-04T00:00:00|3000-01-01T00:00:00
PB|B933||EH1|40.060001|-123.969002|268.1|139.0|26.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-13T00:00:00|3000-01-01T00:00:00
PB|B933||EH2|40.060001|-123.969002|268.1|139.0|116.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-13T00:00:00|3000-01-01T00:00:00
PB|B933||EHZ|40.060001|-123.969002|268.1|139.0|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-09-13T00:00:00|3000-01-01T00:00:00
PB|B932||EH1|40.275002|-124.221199|52.0|412.0|136.5|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-17T00:00:00|3000-01-01T00:00:00
PB|B932||EH2|40.275002|-124.221199|52.0|412.0|226.5|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-17T00:00:00|3000-01-01T00:00:00
PB|B932||EHZ|40.275002|-124.221199|52.0|412.0|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-17T00:00:00|3000-01-01T00:00:00
PB|B934||EH1|39.844501|-123.691399|331.0|492.0|4.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-14T00:00:00|3000-01-01T00:00:00
PB|B934||EH2|39.844501|-123.691399|331.0|492.0|94.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-14T00:00:00|3000-01-01T00:00:00
PB|B934||EHZ|39.844501|-123.691399|331.0|492.0|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-14T00:00:00|3000-01-01T00:00:00
PB|B935||EH1|40.478699|-123.573196|696.7|152.4|257.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-29T00:00:00|3000-01-01T00:00:00
PB|B935||EH2|40.478699|-123.573196|696.7|152.4|347.0|0.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-29T00:00:00|3000-01-01T00:00:00
PB|B935||EHZ|40.478699|-123.573196|696.7|152.4|0.0|-90.0|HS-1-LT/Quanterra 330 Linear Phase Composite|781398000.0|20.0|M/S|100.0|2008-10-29T00:00:00|3000-01-01T00:00:00
TA|N02D||HHE|40.974|-122.705|937.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-04-28T20:30:00
TA|N02D||HHN|40.974|-122.705|937.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-04-28T20:30:00
TA|N02D||HHZ|40.974|-122.705|937.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-04-28T20:30:00
TA|M02C||HHE|41.392|-122.8538|960.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-05-01T15:45:00
TA|M02C||HHN|41.392|-122.8538|960.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-05-01T15:45:00
TA|M02C||HHZ|41.392|-122.8538|960.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 400 and a|502116000.0|0.3|M/S|100.0|2011-05-02T15:30:00|2016-05-01T15:45:00
7D|FS01B||BH1|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS01B||BH2|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS01B||BHZ|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS02B||HH1|40.351101|-124.797997|-1402.8|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS02B||HH2|40.351101|-124.797997|-1402.8|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS02B||HHZ|40.351101|-124.797997|-1402.8|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS05B||BH1|40.3866|-124.899597|-2316.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|629980000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS05B||BH2|40.3866|-124.899597|-2316.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|625786000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS05B||BHZ|40.3866|-124.899597|-2316.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|623269000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS03B||HH1|40.273201|-124.652603|-345.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T09:36:30|2013-07-01T17:26:20
7D|FS03B||HH2|40.273201|-124.652603|-345.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T09:36:30|2013-07-01T17:26:20
7D|FS03B||HHZ|40.273201|-124.652603|-345.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T09:36:30|2013-07-01T17:26:20
7D|FS06B||BH1|40.381199|-124.785301|-2198.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|626624000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS06B||BH2|40.381199|-124.785301|-2198.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|630819000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS06B||BHZ|40.381199|-124.785301|-2198.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|626624000.0|0.2|M/S|50.0|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS04B||HH1|40.244701|-124.509697|-159.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T14:52:05|2013-07-01T17:28:25
7D|FS04B||HH2|40.244701|-124.509697|-159.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T14:52:05|2013-07-01T17:28:25
7D|FS04B||HHZ|40.244701|-124.509697|-159.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T14:52:05|2013-07-01T17:28:25
7D|FS09B||BH1|40.438702|-124.808502|-2161.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|630819000.0|0.2|M/S|50.0|2012-08-28T00:00:00|2013-06-12T23:59:59
7D|FS09B||BH2|40.438702|-124.808502|-2161.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|629141000.0|0.2|M/S|50.0|2012-08-28T00:00:00|2013-06-12T23:59:59
7D|FS09B||BHZ|40.438702|-124.808502|-2161.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|625786000.0|0.2|M/S|50.0|2012-08-28T00:00:00|2013-06-12T23:59:59
7D|FS07B||HH1|40.339199|-124.659599|-1297.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T16:56:30|2013-07-03T02:27:38
7D|FS07B||HH2|40.339199|-124.659599|-1297.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T16:56:30|2013-07-03T02:27:38
7D|FS07B||HHZ|40.339199|-124.659599|-1297.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T16:56:30|2013-07-03T02:27:38
