#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
5E|CM06A||EHZ|40.483101|-124.2286|649.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-02-19T22:09:59
5E|CM06A||EHZ|40.483101|-124.2286|649.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|54685100.0|5.0|M/S|100.0|2015-02-19T22:10:00|2015-10-10T23:59:59
5E|CM07A||EH1|40.473099|-124.084099|311.0|0.0|31.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM07A||EH2|40.473099|-124.084099|311.0|0.0|121.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM07A||EHZ|40.473099|-124.084099|311.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM08A||EHE|40.435001|-124.281502|417.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-05T00:00:00|2015-10-10T23:59:59
5E|CM08A||EHN|40.435001|-124.281502|417.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-05T00:00:00|2015-10-10T23:59:59
5E|CM08A||EHZ|40.435001|-124.281502|417.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-05T00:00:00|2015-10-10T23:59:59
5E|CM09A||EHE|40.3321|-124.330498|218.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM09A||EHN|40.3321|-124.330498|218.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM09A||EHZ|40.3321|-124.330498|218.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM10A||EHE|40.317101|-124.264503|68.0|0.0|90.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM10A||EHN|40.317101|-124.264503|68.0|0.0|0.0|0.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM10A||EHZ|40.317101|-124.264503|68.0|0.0|0.0|90.0|Mark Products L22/Reftek 130 Datalogger|1749920000.0|5.0|M/S|100.0|2014-10-04T00:00:00|2015-10-10T23:59:59
7D|FS01B||BH1|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS01B||BH2|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS01B||BHZ|40.326801|-124.949203|-940.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:59:00|2013-06-19T08:00:00
7D|FS02B||HH1|40.351101|-124.797997|-1402.8|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS02B||HH2|40.351101|-124.797997|-1402.8|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS02B||HHZ|40.351101|-124.797997|-1402.8|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T19:46:00|2013-07-03T21:31:38
7D|FS02D||BH1|40.326|-124.800201|-947.9|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|627463000.0|0.2|M/S|50.0|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS02D||BH2|40.326|-124.800201|-947.9|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|630819000.0|0.2|M/S|50.0|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS02D||BHZ|40.326|-124.800201|-947.9|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|639207000.0|0.2|M/S|50.0|2014-07-16T00:00:00|2015-08-28T23:59:59
