event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
40232508,2009:03:01T11:20:14.89,40.3,-124.58333333333333,18.1,2.89,230.0,100.0,190.0,90.0,30.0,0.08,42,,30,30,40,0
40232766,2009:03:06T13:39:13.85,40.13333333333333,-123.06666666666666,40.54,2.45,47.0,175.0,265.0,30.0,70.0,0.17,38,,13,15,25,0
40232766,2009:03:06T13:39:13.85,40.13333333333333,-123.06666666666666,40.54,2.45,47.0,235.0,145.0,75.0,-170.0,0.17,38,,13,30,35,1
71197126,2009:03:12T12:27:18.15,40.733333333333334,-124.51666666666667,23.46,2.35,222.0,50.0,140.0,90.0,-100.0,0.22,37,,15,3,80,0
71197126,2009:03:12T12:27:18.15,40.733333333333334,-124.51666666666667,23.46,2.35,222.0,145.0,235.0,90.0,80.0,0.2,37,,18,3,80,1
40233362,2009:03:18T11:04:39.12,40.53333333333333,-124.41666666666667,13.54,3.8,221.0,205.0,115.0,60.0,-150.0,0.01,59,,8,10,15,0
40233857,2009:03:27T08:32:35.45,40.75,-124.38333333333334,18.03,3.7,208.0,160.0,250.0,80.0,20.0,0.06,37,,10,20,20,0
40234034,2009:03:30T15:33:22.58,41.43333333333333,-123.38333333333334,38.14,2.94,43.0,350.0,260.0,80.0,-150.0,0.18,45,,18,33,35,0
40234061,2009:03:31T06:57:47.24,40.983333333333334,-123.66666666666667,27.12,2.95,78.0,175.0,265.0,65.0,-100.0,0.27,44,,70,25,35,0
40234325,2009:04:05T05:42: 4.48,40.3,-124.56666666666666,19.96,2.91,229.0,250.0,160.0,75.0,20.0,0.01,56,,15,30,25,0
40234475,2009:04:07T22:17:24.49,40.75,-123.3,24.96,2.94,38.0,190.0,100.0,65.0,-100.0,0.14,54,,43,28,15,0
51219955,2009:04:15T22:49:48.52,40.5,-123.9,21.92,2.51,79.0,210.0,120.0,35.0,-100.0,0.2,28,,23,13,25,0
71215241,2009:04:29T11:03:48.50,41.06666666666667,-123.96666666666667,29.53,2.29,135.0,170.0,260.0,70.0,120.0,0.19,25,,15,8,25,0
51220943,2009:05:03T17:54: 5.21,40.733333333333334,-124.15,20.26,4.17,167.0,240.0,150.0,75.0,-170.0,0.07,65,,10,23,30,0
51220943,2009:05:03T17:54: 5.21,40.733333333333334,-124.15,20.26,4.17,167.0,115.0,205.0,45.0,-60.0,0.08,65,,8,5,15,0
51220943,2009:05:03T17:54: 5.21,40.733333333333334,-124.15,20.26,4.17,167.0,190.0,100.0,35.0,100.0,0.11,65,,10,10,15,1
51221340,2009:05:10T17:55:13.59,41.05,-125.16666666666667,17.4,3.32,229.0,220.0,130.0,75.0,-140.0,0.04,38,,8,40,30,0
40237802,2009:06:08T07:54: 3.59,40.38333333333333,-124.4,17.15,3.91,230.0,195.0,105.0,75.0,160.0,0.02,68,,10,18,40,0
40237802,2009:06:08T07:54: 3.59,40.38333333333333,-124.4,17.15,3.91,230.0,240.0,150.0,40.0,-90.0,0.02,68,,8,10,10,0
40237802,2009:06:08T07:54: 3.59,40.38333333333333,-124.4,17.15,3.91,230.0,85.0,175.0,75.0,-30.0,0.03,68,,8,13,10,1
40237970,2009:06:10T22:43: 3.95,40.28333333333333,-123.46666666666667,30.47,2.38,48.0,135.0,225.0,30.0,-80.0,0.15,33,,30,15,20,0
40237970,2009:06:10T22:43: 3.95,40.28333333333333,-123.46666666666667,30.47,2.38,48.0,235.0,145.0,40.0,-90.0,0.08,33,,43,20,35,1
71245471,2009:07:08T16:47:55.33,40.4,-123.11666666666666,39.63,2.57,52.0,130.0,220.0,85.0,-20.0,0.07,42,,20,35,40,0
71246061,2009:07:09T11:08:20.91,41.266666666666666,-124.38333333333334,11.94,2.55,184.0,155.0,245.0,80.0,0.0,0.01,33,,10,28,20,0
71246116,2009:07:09T16:09:53.18,41.0,-123.48333333333333,26.81,2.24,45.0,120.0,210.0,55.0,-60.0,0.13,26,,25,28,25,0
71246191,2009:07:09T19:24:33.92,40.3,-124.55,18.61,3.45,229.0,270.0,180.0,70.0,-30.0,0.04,48,,18,30,25,0
71246191,2009:07:09T19:24:33.92,40.3,-124.55,18.61,3.45,229.0,100.0,190.0,90.0,30.0,0.03,48,,10,23,20,1
71255501,2009:07:28T07:59: 8.97,40.46666666666667,-123.5,5.76,2.78,43.0,160.0,250.0,75.0,-10.0,0.08,27,,13,23,25,0
